,2160,3649,780,0
10,"[ 0.09460731  0.67926666  1.5527881  ...  6.62399762  1.52724139
 15.17815038]","[ 7.37906984 11.69932342 16.13346057 ...  2.50718654 20.50845024
  1.72484945]",[2.09536501 0.17068531 1.13623763 ... 0.07953817 0.04898126 6.92930847],[6.39592063 0.17068646 1.13623763 ... 0.07953817 0.04896884 6.92930847]
11,"[ 0.41691485  0.16723797  5.89451173 ...  8.60406161  0.42773743
 16.30630791]","[45.2920854   1.43430154  0.39271038 ...  1.72215329 13.95142312
  4.92658188]",[0.41309342 0.18632671 0.50992598 ... 2.39534754 9.85897046 4.32832475],[0.41309342 0.18632671 0.50992598 ... 2.65743872 9.94643941 4.32832475]
12,"[ 0.15241603  0.0646771   1.62242314 ...  0.07005323  9.67254121
 25.41123631]","[ 7.27012271 50.57938971  0.46716898 ... 12.44508787 94.30412148
 26.64234343]",[1.16011641 0.34454005 0.41351064 ... 3.05172651 0.55556584 0.04682431],[1.16011641 0.34449295 0.41351064 ... 3.05172651 0.55556584 0.04682751]
13,"[ 1.2063695   0.09617229 10.03125635 ... 14.91274116  0.50810643
  0.29273457]","[ 3.14079422  0.09044893  0.31055743 ... 11.75506338 85.40428885
 18.96841769]","[ 0.31394427  0.03989498  1.75216308 ...  0.75591687 24.04934215
  0.23860515]",[0.31369896 0.03994281 5.83558409 ... 0.75591687 9.41476129 0.23860515]
14,[0.15111259 5.67989928 0.06660103 ... 4.30953236 3.26799907 0.20636994],"[ 10.61699122  29.00639555 135.91437872 ...  17.12429149   0.63351372
   3.13075259]","[ 0.57111012  3.27316278 23.89175855 ...  9.76317499 12.61195197
 15.98373933]","[ 0.57111012  3.27316278 23.89175855 ...  9.76317499 12.61195197
 15.98373933]"
15,[0.45159988 0.62492228 0.03007067 ... 1.572134   0.61587617 0.09617229],"[ 3.96693973 35.27070783  1.61011051 ... 26.82369214  0.44254087
 19.34336689]","[ 0.07171106  1.10124829  0.19140436 ... 13.68683284  1.62212808
  1.13578065]",[0.07172487 1.10124829 0.19139129 ... 2.85498775 3.73261363 1.13627129]
16,[4.91977019 3.59229747 0.14670449 ... 8.76306841 0.03966841 5.78591489],"[12.51704206  3.58857908  1.50976812 ... 67.20103398  0.18753834
 42.25724903]","[ 7.81605527 13.15272465  0.0564314  ... 14.58191943  3.32588108
 11.25579399]","[ 7.81605527  2.13971302  0.05648535 ... 14.58191943  3.32588108
 11.26859216]"
17,"[3.95453193e-01 3.76216152e+01 4.68606372e-01 ... 2.79098413e-02
 1.83091717e+00 2.63412693e+00]","[11.89770539  8.27287028  5.23427689 ...  0.43811983  0.52253566
 11.07877814]","[1.56349477e+01 2.50355795e-01 8.85840621e+00 ... 4.10755524e-03
 2.28428579e+00 4.27689033e-01]","[1.56349477e+01 2.50147976e-01 8.56493367e+00 ... 4.09727128e-03
 2.28428579e+00 4.27689033e-01]"
18,"[10.42861427  1.14455223  1.39191889 ...  0.34733689  0.08330754
  0.80146193]","[14.56059982  4.586827    3.69221061 ...  8.77788881 12.17093203
 44.7546785 ]","[ 1.09626333  0.59663186  5.66760039 ... 17.99451334  6.35596567
  0.12123351]","[ 1.09626333  0.59663186  5.66760039 ... 18.17114491  6.35596567
  0.12252119]"
19,[1.47021657 0.1523723  0.48527548 ... 0.66639736 8.75203354 3.43422614],"[ 0.10037295  6.72859841  1.18531499 ...  4.22001793 18.35989691
 25.22808747]","[ 1.78296844  2.08955011  0.0634907  ...  0.16578356  0.08159702
 22.78657427]","[ 1.42951797  2.08955011  0.0634907  ...  0.17206817  0.08111171
 11.18862952]"
20,"[ 0.05775912  0.43118348  0.75332207 ...  6.70878583 17.24953499
  0.25047658]","[22.80196913 20.95557108 22.5459452  ...  0.23312076 21.89231872
  8.28651994]","[ 0.06058715 10.44600987  4.1755092  ...  0.29663401  2.01792514
  0.23690297]","[ 0.06058715 10.44600987  0.67383787 ...  0.29663401  2.01811714
  0.23682541]"
21,"[ 0.10586432  0.26783138  1.95781495 ...  0.20584451 11.76816379
  0.20669692]","[ 4.12899088 18.9351296   0.04163483 ... 39.34736351  0.38759376
 14.33554396]","[11.42490353  2.88022593  4.94592884 ... 25.35406253  0.05636659
  0.05773867]","[11.42490353  2.84794017  4.94592884 ... 18.94532013  0.05636659
  0.05773867]"
22,"[ 2.46650886  1.1360775   5.89443042 ...  5.63581071 14.0569004
  1.37134522]","[ 22.44402011   4.39253374 105.23833364 ...   1.99578139  15.31066052
   7.81417181]","[ 9.27516499  7.65552391 18.80016425 ...  1.07548692 11.24667453
  0.96770815]","[12.36802961  7.65552391 18.80016425 ...  1.07548692 11.24667453
  1.24474455]"
23,"[ 0.0693856   6.29092825  0.94419917 ... 14.90343867  6.71760371
  6.28359141]","[ 15.01704646 115.65313509  20.78142244 ...  24.28281677   3.40041437
   7.8103575 ]","[10.73232175  0.58181231  3.37032029 ...  0.52934881  1.24121721
 67.68401191]","[10.73232175  0.58181231  3.3590507  ...  0.529119    1.2412236
 68.14085856]"
24,"[15.01257187  0.19688653  0.36228808 ...  0.16284976  4.74859695
 11.67443955]","[ 2.09001925  0.55695004 45.38830935 ...  3.60990915  2.06804112
  1.8044875 ]","[ 7.34359395  0.15203022 11.38125852 ... 23.03295154  9.30438187
  0.6549974 ]","[ 9.32979027  0.15205269 11.38125852 ... 23.03295154  9.30438187
  0.6549974 ]"
25,"[ 5.21029769  1.37732911 21.83184099 ... 20.85314487  3.00134846
 11.47338646]","[15.59930877 48.77077804  0.1630206  ...  0.29605943 28.01871252
 18.9936978 ]",[5.1948118  5.80441354 1.18757032 ... 7.60760927 0.65946155 7.79455085],[5.1948118  6.55134077 1.18757032 ... 7.65296545 0.65955123 5.49263555]
26,"[ 4.32490844  5.9689516   0.14132711 ... 20.62609411 13.58445622
  0.20222531]","[12.63018397  0.31324563 13.41780868 ... 21.21686937  0.85972026
 27.38044649]",[4.3583296  7.42512186 0.45682805 ... 0.10178754 1.045031   4.77403933],[4.3583296  7.42512186 0.45682805 ... 0.10171772 1.045031   5.71164335]
27,"[ 9.46707042  0.71217975  3.02911154 ...  0.09687068  0.04264269
 16.46818418]","[130.21966617   0.49526444  20.6183159  ...  22.14781241  59.68361364
   5.24097632]","[17.2314614   9.45871219  1.15746092 ...  1.26765145 10.14482124
  0.46612315]","[17.2314614   9.45835741  1.15746092 ...  1.26765145 10.14482124
  0.46612315]"
28,"[29.91236276  6.81096447  0.77978159 ...  0.08868206  4.53137223
 12.31871896]","[ 4.2704622   8.27671847  1.62339473 ...  0.10883756 84.39516912
  9.83760479]","[3.22996621e+00 8.88743927e+00 5.06485380e+00 ... 3.54890380e+00
 9.25472847e-04 7.39325663e+00]","[3.22566206e+00 8.88743927e+00 5.06485380e+00 ... 3.54890380e+00
 1.42564434e-03 1.25313633e+01]"
29,"[ 4.62984924 13.01177297  5.64189689 ...  0.13071882  0.17798554
  0.23454424]","[ 80.07549825  19.12646946  30.4620073  ...   5.54588933  24.69298003
 118.35369562]","[12.79919763 15.03192417  0.93748333 ...  9.93734046  0.52507238
 14.06679497]","[12.60464318 15.03192417  0.93748333 ...  9.93734046  0.525
 14.06679497]"
