,2160,3649,780,0
0,"[ 0.06676975 28.80106201  0.22395323 ... 10.48338424  0.86555468
  1.91474853]","[32.0819161   0.07855326  0.57686555 ... 33.56022744 45.67097496
 27.57646703]","[18.65585036  0.22440838  0.33618908 ...  1.93236673  3.33848367
  0.20749649]","[39.99961491  0.22440838  0.33618908 ...  1.97635511  3.33848367
  0.20749649]"
1,"[ 8.95503031  0.20353834 13.93092378 ...  1.13656367  0.07546243
  4.24580755]","[ 0.04170326  0.10788104  0.19034366 ... 27.55695432 18.91912895
  0.11956499]","[2.15924228e+00 7.02351010e-02 3.31470432e+01 ... 1.14941152e+00
 2.77602818e-02 1.87912071e-01]","[2.15924228e+00 7.02351016e-02 2.81057017e+01 ... 1.14941152e+00
 2.77165151e-02 1.87912038e-01]"
2,"[ 6.98596293  3.69838094 23.86616421 ... 36.59693477  8.13416475
  0.58650002]","[ 5.36421453 78.99298342 15.95076866 ... 56.81850029  8.6025369
  0.19506606]","[ 1.96543925  0.95242962  0.45072096 ...  0.95006163 17.3920939
  1.79063698]","[ 1.96584147  0.95242962  0.45072096 ...  0.95046943 17.39211056
  1.79072519]"
3,"[ 5.5464596  14.73510881  1.51192979 ... 11.51592519  8.13844818
  4.59063987]","[ 1.46200559 47.19029752 20.46853435 ...  8.52047097  6.04223182
  0.15646061]","[14.522106    2.7400463   5.80441354 ...  0.06698485  4.81989339
  0.35258052]",[9.63801586 2.7400463  6.55134077 ... 0.06696135 4.75741699 0.35258052]
4,"[13.68431247  1.68081042  0.37309109 ...  2.79634454 19.58445649
  3.18639977]","[16.58863565  4.10097389  0.33575857 ...  2.6501257   9.54105861
  2.31945345]","[ 5.94664038  0.31332576  0.55376342 ...  4.98917336 12.79929097
  0.24269655]","[ 5.94664038  0.31332576  0.55376342 ...  2.35573955 12.61800517
  2.91465923]"
5,"[ 0.16621783  2.0509823   0.33087789 ...  0.05306011 13.93215887
  8.87718603]","[19.41048988 16.53785025  2.83201814 ... 78.41819317 24.10492962
  9.28393398]","[ 0.49382696  0.21755943 15.3094655  ...  8.23934946  5.90425924
  5.06916795]","[ 0.1665943   0.21755943 15.3094655  ...  8.23934946  5.90425924
  5.03907427]"
6,"[12.79854932  3.36996537  7.06744407 ... 17.18659293  1.14573928
  0.02409247]","[15.43559753 13.28850896  1.26416177 ... 45.89789595  0.11775298
  9.71521266]","[ 0.10510539  9.59027491  3.58067459 ... 11.24848494  0.03581292
  0.096202  ]","[ 0.10510539  9.59027491  3.59633746 ... 11.24848494  0.03581292
  0.096202  ]"
7,"[17.69698314  0.45200163  0.11735736 ...  0.23128617  5.49652325
  0.83695982]","[  4.08999366  28.79171729  13.02826043 ...  11.66092004 151.97113585
 119.084862  ]",[0.38383353 0.11901462 0.22456885 ... 0.30186828 1.36768744 1.60203348],[0.38396302 0.11901462 0.22456885 ... 0.30186828 1.36768744 1.60203348]
8,"[ 0.17437854  7.27507464  4.38221882 ...  4.98405508  2.4879229
 14.54660626]","[ 34.17276634  43.21956692  17.13590412 ... 136.23458361   9.19771965
  21.56760184]","[ 8.32955574  2.61525969  6.24582238 ...  0.15556223 17.45926553
 56.95392494]","[ 6.2528296   2.61525969  6.24582238 ...  0.09951404  2.00119551
 27.06104377]"
9,[6.79863777 1.25418158 7.89200672 ... 6.72740349 5.63144704 0.31205155],"[8.37266712e-01 1.26181564e-02 6.16144611e+00 ... 1.34365596e+01
 1.08558267e+01 3.88369935e+00]",[0.0083549  7.56556816 0.34037302 ... 0.31540067 0.82830164 7.91553193],[0.0083549  7.56556816 0.34037302 ... 0.31540067 0.82830164 7.92250314]
