,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,4.83676426523432,4.155931053149299,4.4311262936485285,4.676371638650268,4.915032609808373,5.179304373260756,5.411788937157429,5.640032986086886,5.857373666619423,6.002199465201144,6.158363880146479,6.308053941979619,6.455789939069471,6.583669707802782,6.737615541079255,6.856082457131883,6.984401072667889,7.118421802218069,7.236363170154352,7.360241972554516
1,4.567726843991884,3.9374054388153374,4.2531933067727135,4.572808949667595,4.802392670604558,5.0386650197898355,5.270739424902115,5.470219064324553,5.625145634128043,5.868891342577217,6.076462417410772,6.20908580507244,6.3420010217172145,6.49172804361004,6.66503384180264,6.817895136924082,6.927518498123044,7.031917532983154,7.1584470932965685,7.317327730522359
2,4.686257298926176,4.073653151096776,4.409089873028174,4.746296537559505,5.047415336524164,5.287820063396982,5.484341064658449,5.71430161849126,5.89392289218834,6.098393994712074,6.262859279855084,6.428157427055923,6.572395179993752,6.724194251351146,6.892861365727486,7.0184770673748345,7.145058425766575,7.266012371533749,7.402237700391256,7.534533882200815
3,4.846705990402317,4.223606196809121,4.552867628245785,4.74889214484724,4.980793641618146,5.222825053606028,5.462557671016101,5.685360871927211,5.890754246420175,6.072154139648095,6.2721297761257215,6.45953385311468,6.622749362590866,6.76852859102728,6.912680920966807,7.054256552244314,7.1654814388499615,7.2992409016950095,7.419635764219674,7.519623823929585
4,4.947291893692983,4.319531534130545,4.582422009070615,4.716868076649796,4.946034898882431,5.181392528137319,5.46844804820991,5.674204101150067,5.883187796324565,6.095247012153064,6.259432442755715,6.413202565866076,6.567760388674954,6.718678802323101,6.845806616595573,6.9869779900836075,7.1274179056756655,7.2808595921346235,7.410097480053481,7.552297200377166
5,4.926843191317578,4.228957028443453,4.50783126485952,4.701886844027266,4.951804782421195,5.193516147260586,5.4297777342508775,5.616929330602216,5.82949706305503,6.000092623958994,6.170629286980882,6.355455829886787,6.525117139737132,6.698181147217319,6.834973904356638,6.9927887624789555,7.106452976767763,7.2403097937458485,7.358752904648385,7.5140257651438755
6,4.729277211712806,4.175872708840786,4.5200742177029145,4.736892187141915,5.021365484864319,5.235350252245091,5.457526815236113,5.731062192792091,5.895246045872553,6.052939000075345,6.219452447849622,6.377932897580872,6.5383823662107154,6.705419352376652,6.862114084994772,6.993634391440061,7.124345148944134,7.281032435252641,7.409859374296936,7.537750361899246
7,4.7481419782948535,4.088604330876819,4.434906501469387,4.690403115111283,4.9305414828606215,5.130215978418295,5.352637624483556,5.559072576865257,5.799229764165284,5.969469209012343,6.140012270925165,6.299113178292674,6.453119361214333,6.590580315028697,6.7166454573734145,6.855469692963537,6.971262824574867,7.090149412245392,7.228103126234965,7.305447049377406
8,4.931239043431217,4.342454059649288,4.726624187067936,5.005612755949589,5.294237715048705,5.5716285039907065,5.844703138504682,6.038381343033251,6.245500293519514,6.445381440512797,6.602706403313309,6.741977588326463,6.90182156596571,7.024595733971218,7.149571393008193,7.260306698839719,7.390228663834842,7.548330424747143,7.654856444681775,7.778035684982707
9,4.568093981524616,3.8741060142075674,4.145390272614889,4.358575295349528,4.64257560416732,4.91541980392816,5.15043806888711,5.369054531123653,5.587117146735283,5.776845104328655,5.92635430888084,6.082431855552539,6.233861470868777,6.387394896807991,6.518623998358589,6.651551282916249,6.813858427531064,6.927528445246238,7.083866358638621,7.2230285398862035
10,4.916651576191707,4.327603263689029,4.654837978115806,4.8522757424374365,5.057632257202073,5.291341281062393,5.535447946202585,5.728521062489695,5.925775943003623,6.0335410552935285,6.209881433987543,6.351252489164221,6.511723598321303,6.674138423130814,6.790035392722868,6.908609868156513,7.044700874257612,7.137558988213173,7.277339257062711,7.411826225820003
11,4.97670624134725,4.427724105956431,4.750961713406114,4.956613945142249,5.1347258414324415,5.4027673042180515,5.65774111286994,5.842983587098366,5.997763811737531,6.190233684742542,6.355710669250492,6.51234930277542,6.648361481125137,6.824201891696309,6.9530272187173825,7.082926873146363,7.247023930041273,7.376696331585464,7.514129482248924,7.622824501435679
12,4.764386348010407,4.093461524458799,4.395483952595353,4.614683358157845,4.912436240915955,5.179002449926787,5.413529621468564,5.647526081095619,5.890284491474039,6.106859757036555,6.30429675522402,6.495001929592562,6.6478230881712,6.804266258341441,6.937643166392304,7.105482331314835,7.258215370550771,7.385227652650758,7.517571541514072,7.664289184935169
13,4.640314102801154,3.834386430647647,4.264124662714849,4.560055907145616,4.810895027060072,5.093502899557935,5.292596575355474,5.499266480421074,5.667901992932166,5.834390746189754,5.992760812744888,6.173539037282752,6.367426204843351,6.50465658086592,6.6344729778015745,6.749387611513871,6.863829854208379,7.006660974831094,7.148899922818164,7.269479733297182
14,4.793459443786724,4.013427812973381,4.298386329731781,4.5228887808979445,4.809340951148847,5.042126786978047,5.268181781909366,5.468690009664749,5.610237074772764,5.795074447361384,5.969618590753064,6.111515415080764,6.24562435443813,6.378728376756933,6.517607162809816,6.657131764404913,6.81519332520005,6.96762498227222,7.118008562764021,7.25400460532645
15,4.822596406493588,4.156880532092038,4.4278249786482,4.674338554666627,4.996933412831111,5.209954600026792,5.490499987823325,5.692002997416113,5.8894676447382075,6.097848550644612,6.265473268771422,6.414722141432396,6.581084177694884,6.73780317144915,6.888820167374371,7.022479825445054,7.1644026019038645,7.306222779204233,7.443973970746971,7.582381981069264
16,4.714501033061085,4.174554388040248,4.561653871841057,4.866617671987921,5.153460906014479,5.379199307967832,5.566888322737798,5.763252917062584,5.9332690319533405,6.087402660210969,6.274073240827824,6.4367429942888235,6.586871083680889,6.713177241832761,6.8673907738854725,7.006988059520261,7.1649862548273004,7.289694465786995,7.4116273746282095,7.537003014635603
17,4.996197580637239,4.217976153179855,4.501068968238233,4.7545368536487675,4.948204494981183,5.29592749740069,5.480268543326824,5.730255639009122,5.963271076783156,6.152717353368666,6.365896678839539,6.565596023591034,6.721336083975219,6.849136854136933,6.977650090336739,7.091979379472583,7.199210713845298,7.341958377332274,7.461051849205055,7.583876787851783
18,4.76267920998791,4.106600400091518,4.518442297228384,4.813125742718083,5.029907413223475,5.182304107185863,5.422079116462088,5.604766572704731,5.782073862872386,5.940171128712135,6.089146670776062,6.2688966523461325,6.438903489516494,6.576311484991155,6.723756459951105,6.856663541698379,7.000822481721459,7.115176868810022,7.250516522404822,7.393275265781153
19,4.884644666587234,4.335957453803511,4.685903922748448,4.941581371872731,5.232966565513851,5.4523202780918485,5.6340687875690865,5.806654886659084,6.004821228635738,6.189930528847664,6.401785558698524,6.572463379628536,6.7252174631842285,6.857594457914946,7.029685442583585,7.172338747035996,7.319384997045273,7.435496138417525,7.55016774976671,7.688338900414455
20,4.745110639523414,4.1497143358003505,4.498885461579926,4.773060650642316,5.0975755454973335,5.350836184695695,5.555109430171718,5.825426862222036,5.986647787534824,6.169689137280343,6.371308051607122,6.476810679699263,6.58321210147678,6.713240488819301,6.830913808404298,6.96794119111009,7.108334003509567,7.242761230669015,7.345430377251868,7.454868150084425
21,4.80169516085596,4.246557873904654,4.5624512004376605,4.879479808874336,5.084609655124948,5.33969399905941,5.565169159500592,5.775926228810843,5.975973258122953,6.144160205284942,6.325054581241459,6.478975005440963,6.625185706822586,6.739845625102577,6.857497165946876,7.002390847455422,7.146634872460118,7.284824587728595,7.415981316902758,7.528703349109272
22,4.707514231959305,4.056764799430657,4.442942462839712,4.632199028686445,4.864576027835317,5.159335862352467,5.37546607592901,5.562453653200703,5.792447403048606,5.939756182882164,6.118504150699264,6.247627443279217,6.364124926202247,6.517113284667918,6.666565295400321,6.819805421182137,6.935561672234331,7.037099128001225,7.146555167522245,7.285454148825197
23,4.750584738732656,4.155113926509451,4.418856884933382,4.662295010323588,4.988409090080613,5.206136838960786,5.396803499580444,5.604390852682712,5.755871675316522,5.925524598557723,6.144373043105963,6.297164417543916,6.45890459177937,6.6005799471558495,6.731971465062698,6.842882749240971,6.995501575411471,7.122824113982358,7.243272430696377,7.355209962061666
24,4.992820522738353,4.310101592537265,4.6976463963592465,4.902469243089013,5.211712361689464,5.487967785401115,5.731626709033026,5.958852875893235,6.1661986425955515,6.304074209249157,6.493377270538855,6.67618406428794,6.869760781913262,6.986812040914571,7.140170113246673,7.253855254095083,7.375477017555622,7.501852335924419,7.6136965368314025,7.725527804757447
25,4.832182376632337,4.080093360638971,4.414379254519399,4.613833026677087,4.873213199420858,5.146697942472503,5.394262327465057,5.634318047742636,5.834450614932758,6.032046004388063,6.205093984533405,6.366081808342378,6.525980066068444,6.7046207043651505,6.8312473550286335,6.974758123273528,7.125429586072705,7.243173060097631,7.372076773609645,7.518229353433785
26,4.712752648934456,4.0925972064495575,4.436884819715999,4.657281346460267,4.8848291997313975,5.088620221552719,5.288796292932428,5.529103039792813,5.731750218339696,5.936696707909349,6.138039354225252,6.272651261199322,6.432486430953918,6.578016191362696,6.701743098176648,6.835873167243035,6.948400789902915,7.075697084679026,7.218887458877313,7.326137248818121
27,4.873947991624072,4.2921945695964006,4.490601376146074,4.852831110458216,5.082159265512842,5.306241096052492,5.562200784754234,5.704201217667097,5.913975839789056,6.09095675145159,6.295509394894455,6.4340040172172115,6.571731721965901,6.736553065794925,6.873189203733594,6.99383370599768,7.137442106947513,7.265123600132055,7.405674165967599,7.535728540504467
28,4.811758222282724,4.175485006549446,4.455359199711031,4.72452254910695,4.972083011911668,5.219210843433984,5.409069309321809,5.620618844238318,5.7890335672893185,5.968308709227416,6.137256885427224,6.288089041875274,6.4340016788869425,6.5953328270086,6.720195338979376,6.8582999279710615,6.970567977156945,7.089941812537637,7.23281060357752,7.338519344021756
29,4.486799834055794,3.981256327132451,4.225110499794488,4.530164944520489,4.72602816567557,4.889264913008074,5.131585364567085,5.372328014264902,5.572468347899647,5.748023228811911,5.906991535939792,6.08602618784981,6.2311817992618534,6.37541764524299,6.475507602415138,6.621722811137694,6.713047930006295,6.844247848591761,6.973144098163806,7.093935162893848
