,errors,errors_control,complexity,complexity_control
0,5.84338761854844,3.975418168226943,231335.06248760165,3214475.0
1,5.886329199516641,3.9529258947160026,230523.0045329129,3207050.0
2,6.071593904487904,3.911081541888629,231504.43297936284,3229325.0
3,5.930485156945413,4.132134717687298,232092.8463399879,3238125.0
4,5.78273727041564,3.993900028356382,229121.86703275153,3199900.0
5,5.732036276712277,3.9433368199137413,232751.5990718321,3239775.0
6,6.071480540041021,4.281893789131639,231168.20175438595,3223000.0
7,6.013060510528493,4.04875151522369,232689.96578099838,3236200.0
8,5.8389825488324885,3.9792802880044476,228425.3205128205,3186425.0
9,5.721854493790329,3.9828971823351353,231474.15870171247,3220250.0
10,5.530696930492645,3.820970023780853,232783.0054479419,3238125.0
11,5.908936115084509,3.994567722033657,230752.07225831857,3205675.0
12,5.865984740971894,4.11982394389642,230885.57996832937,3212825.0
13,5.877638328941481,3.90124575256784,230726.0424980048,3224100.0
14,5.897533173113068,4.08159451310516,230622.24550898204,3224100.0
15,5.7778849624387725,4.017915200651806,231019.99604821182,3208975.0
16,6.049482526605441,3.9722951377769222,228458.30404217925,3193575.0
17,5.96593053716317,3.9975120265939896,230613.6296223057,3210900.0
18,5.989351967545065,4.063110407571539,231786.48688915375,3216950.0
19,6.087731722666924,4.1302123271318445,231191.90490371254,3216400.0
