,0
0,10.480454773929424
1,10.455802588362584
2,10.536000398482761
3,10.040094375600814
4,10.735591431637747
5,10.188897321456421
6,10.093731202896631
7,10.869051542869187
8,10.791204724043864
9,10.337636328382347
10,11.047778655338995
11,10.865318438025621
12,10.647458238754385
13,10.312401977661828
14,10.647169574483774
15,10.801657619133149
16,10.362628301924342
17,10.43458381434065
18,10.230204577090552
19,10.075081352663453
20,10.035551300190464
21,10.187086633611546
22,10.378673334887326
23,10.293343486846874
24,10.756626506478264
25,10.321944052643707
26,10.65447465404531
27,10.286949715572922
28,10.496924380027748
29,10.594860982086331
30,10.435097464750912
31,10.647707226339532
32,10.281810068068971
33,10.470630065604336
34,10.55440900535863
35,10.302278748048858
36,10.411933590876107
37,10.484075256061734
38,10.977179491393763
39,10.616293641091888
40,10.385672255255004
41,10.233324491270695
42,9.861641608149514
43,10.554920733667233
44,10.511307877140514
45,10.289557238353089
46,10.469750550491275
47,10.508109890827823
48,10.317002510424613
49,10.343429860090232
