,2160,3649,780,0
10,[0.52690366 0.13127895 6.94342672 ... 0.18529218 0.120063   0.06710721],"[ 9.06873101 16.82477731 19.23007333 ... 28.96427144  2.96157318
  0.37867888]",[0.07142497 0.13551226 0.58545311 ... 4.35195521 2.11846644 3.98953308],[0.07141777 0.13551226 0.5838616  ... 6.6318848  2.11846644 3.984254  ]
11,"[ 3.06867758 25.30961708  5.93295379 ...  0.11304091  7.4664852
  5.30479057]","[22.80664519 36.6058316   2.2216926  ...  0.86869183 14.57339811
  1.79295423]","[ 4.76376743  5.46890337  3.51287416 ...  8.96496121  2.83780845
 13.19184545]","[ 4.76376743  5.46890337  3.20484402 ...  0.70734778  1.11325542
 13.19184545]"
12,[0.33229123 0.4173148  0.86526845 ... 0.09866792 5.90506913 0.35887766],"[41.55379851 13.32898148 14.35812302 ...  7.89009528 19.78499543
  0.26842356]",[7.47598329 7.54956942 5.25059524 ... 6.8107147  1.7942289  8.28555598],"[ 7.54956942  5.25059524  7.65730282 ... 14.50757686  1.7942066
  8.28555598]"
13,"[ 0.80139041 21.83184013  1.88537707 ...  1.45690418 13.30935065
  0.21693615]","[137.1713123   18.90984581  18.45988639 ...  28.64720528  11.31962106
   8.22932438]","[ 0.8704491   0.10030476 13.51164059 ...  1.39474746  0.29700087
  3.36017771]","[ 0.8704491   0.10030476 13.51164059 ...  0.29702652  3.36017771
 23.350862  ]"
14,[0.0939067  8.82684234 0.06518172 ... 1.85474741 7.483037   0.45114084],"[86.65639695  1.47356766 48.72235914 ...  0.83334102  9.0591999
 23.64272164]","[37.83685209  1.32056359 18.44592479 ...  2.16394947  3.95045622
  0.48768699]","[37.83685209  1.32056359 15.07653915 ...  2.20339114  6.20488821
  0.48768699]"
15,"[ 0.04101334  9.50260463  1.13891225 ...  0.60376481 11.22995986
  0.03890082]","[ 1.66318556  6.5839824  34.21297064 ... 71.96683328  5.58343347
  3.46471898]","[ 3.69641605  2.91442015  0.28362549 ...  9.05198281  0.27879604
 11.50094781]","[14.06182563  2.91442015  0.28362549 ...  9.05198281  0.27879604
 12.74705803]"
16,"[11.25797777  7.53615773  3.00134846 ...  9.19829551  0.39855225
  2.92820935]","[52.63557327 87.31038382 76.2092958  ...  2.21682906  9.35909215
 11.41987904]","[ 0.92935923  4.3149897  18.06155923 ... 10.33088254 10.50677066
  3.00294986]","[ 0.92935923  4.3149897  18.06155923 ...  3.78987257 13.50501826
  3.00294954]"
17,"[ 0.09758805  1.94379866  7.29541142 ...  1.80982584 16.64099315
  0.16326145]","[ 1.40078132  3.25680012  0.57738884 ... 33.21648458 59.54563237
 13.79650643]","[ 8.67934607  6.17448592  5.31665136 ...  0.29029659 32.37671318
 21.27412479]","[ 2.37874375  6.17448592  5.30763236 ...  0.29029659 15.41778056
 21.27412479]"
18,[0.05885477 0.04720795 5.86669269 ... 0.9034591  6.23905481 0.20544715],"[35.94418318 26.24880601 16.86651758 ...  0.26632703 88.26315227
  0.31444446]","[ 0.05217364  1.42668811  4.3257146  ...  7.44400419 12.27039024
  1.91972029]","[ 0.05205455  0.97093731  5.03412738 ...  7.44400419 12.27039024
 19.79505855]"
19,"[ 0.1169194   0.86608103  5.33915631 ... 17.55628572  5.17316842
  0.16354726]","[27.55228844  8.10725171 11.98326874 ...  0.49314811 10.93364293
  3.2281995 ]","[5.60466891e-01 2.66721652e+01 9.22573588e+00 ... 8.85398325e-02
 1.10124829e+00 2.21372659e-03]","[5.60466891e-01 2.16792792e+01 9.22983324e+00 ... 8.85398325e-02
 1.10124829e+00 2.21372659e-03]"
20,"[ 1.80919251  3.14743439 11.1713971  ...  5.3462884   5.09240359
  0.35288968]","[ 7.69836734 35.73212053 47.65945676 ... 27.9805285   2.87006012
 14.4779528 ]",[9.76879237 7.33636146 7.33973617 ... 0.17615564 0.96289358 2.85909015],"[11.07510382  8.45936744  7.33973617 ...  0.12348323  0.96289358
  2.85909015]"
21,"[ 1.10203108  0.87593026 10.18736009 ...  7.31313286 14.03440674
  0.12486747]","[ 0.74751309  0.1938552  11.38492807 ...  6.2213767  19.31767091
  0.45674754]","[ 0.02584079 11.67085647  1.41767891 ...  2.60543114  8.38920682
  0.54759475]","[ 0.02601525 11.68792987  1.41897574 ...  2.60543114  8.32978138
  0.65538968]"
22,[5.65661293 0.9379567  3.91507696 ... 1.07678292 0.07443396 0.58206516],"[  0.28879478   1.63196229   2.60015615 ...   7.21329539  14.42254131
 110.06562547]",[9.45146923 1.10020392 0.03582291 ... 0.3588871  0.42325723 0.12363976],"[13.49121515  1.09949221  0.03582291 ...  0.3588871   0.42325723
  0.12363976]"
23,"[ 0.26837577  0.07857143  0.21863854 ... 20.40942553  0.30522946
 14.97021853]","[ 4.55054833 24.24739406 27.84653658 ...  1.53770901  0.44144511
 14.53695146]",[0.41658605 6.65327117 0.65244564 ... 2.1839832  0.03800758 0.15567602],"[ 0.41658605  7.03391879 17.79269799 ...  2.23617281  0.03800758
  0.15567602]"
24,[0.28861324 0.08418245 0.14797126 ... 5.63088383 5.95006157 1.0436471 ],"[ 9.98993898  0.1663224   0.46790513 ... 64.7708898   0.69630591
 19.02920966]","[10.21510278  0.55659154  0.15646837 ...  0.13113417 24.28443607
  0.45041073]","[10.18460718  0.55659154  0.15646837 ...  0.3507931   6.4525229
  0.45041073]"
25,[0.2350931  0.11711669 0.4696417  ... 7.72162154 0.04952066 7.62591239],"[ 5.58343347 37.24050545 27.8153727  ... 77.20774464 57.24147326
  2.74549748]",[0.2263356  0.81530131 0.26621655 ... 6.87150949 3.5390446  1.22310935],[0.22632283 0.80836187 0.2662471  ... 1.86940592 3.5390446  1.22310935]
26,"[ 0.11135436  9.68343995  6.66087808 ...  3.68011462 12.07512102
  5.59955784]","[ 2.53526681 38.03596858  6.90975483 ... 34.04805188  0.16462009
 19.33320038]","[ 1.49007344  2.4499885   7.67989998 ...  0.6602421   2.07668509
 14.06152614]","[ 1.47966381  2.4499885   6.77756133 ...  0.6602421   2.07668509
 14.06152614]"
27,"[ 0.36717472  5.66669905  7.28829345 ...  6.84901384  3.39369894
 13.16539481]","[1.69580577e-01 1.14786932e+01 2.32656509e+00 ... 5.73735250e+01
 4.85067667e-02 8.48977850e+00]","[1.64086452e-02 6.75874657e-01 8.09784965e-01 ... 1.66549387e+00
 3.38757088e+01 1.93101321e-01]","[1.64086452e-02 6.75874657e-01 8.09784965e-01 ... 1.66549387e+00
 2.75815040e+01 1.93101321e-01]"
28,[0.09871777 0.80805167 0.72789142 ... 1.5380061  8.99250475 5.73946703],"[10.93854378  0.15065831  2.63562084 ...  4.31674757  0.84592052
  0.50989138]",[0.07134091 1.54983428 0.12134268 ... 1.00946498 3.7807992  0.21283649],[0.0713619  1.54927848 0.12134268 ... 1.00946498 3.7807992  0.21283649]
29,[2.08952109 0.41189343 8.46732997 ... 0.12114481 2.44565576 0.35306617],"[ 0.31360367 24.8435502  10.76020863 ... 16.46683685  0.32904214
 33.83243385]","[15.39913569  0.27187124  0.2038686  ...  3.63339109  1.83124283
  0.26257279]","[15.39913569  0.27202934  0.2038686  ...  0.75101196  1.82118403
  0.26253081]"
