,2160,3649,780,0
0,[3.40174626 0.24950037 7.01416209 ... 2.54604629 0.15515158 5.83277448],"[37.30893938  7.02538072 39.12025346 ...  0.07908177 20.9504762
  1.62071962]","[ 0.23396801  0.12657677 13.71807928 ...  0.33850673  7.21229288
  8.61161118]","[ 0.07077581  0.12640927 13.53597448 ...  0.33850673  2.71851477
  8.61161118]"
1,"[ 0.93139381 11.50261017  7.0844504  ...  0.07740121  8.19863638
  1.36530487]","[3.14947460e+01 3.87864813e-02 7.95061612e+00 ... 1.17154812e-01
 3.10724278e+01 6.12176170e+01]","[ 6.09925836  0.80448836  1.5064668  ...  0.33467047  0.3724455
 16.15167542]","[ 6.09925836  0.80448836  8.12131612 ...  0.33461461  0.3724455
 15.3012994 ]"
2,"[ 1.53472703  2.33104956  0.46518412 ...  4.19024264 12.87208575
  6.19522624]","[  2.61424537  28.06288131   0.13497162 ...   6.41044747 100.3610953
  34.15378194]",[8.27698696 0.09529518 0.73412277 ... 0.49549955 5.9436094  3.51439825],[8.27698696 0.09529518 0.73457604 ... 0.49549955 5.91690295 3.51439825]
3,"[ 5.02147175  0.38545781  0.70333523 ... 14.01700464  2.56721618
  0.40169527]","[31.90393847 41.42329345 19.77197858 ...  7.08279909 85.79896185
 25.44644816]","[ 4.3902416   0.09700933  0.11723413 ...  0.02306946  7.84373838
 12.30304117]","[ 4.19867983  0.09700933  0.11722892 ...  0.02306946  7.84373838
 12.30304117]"
4,"[ 1.69871564  0.16480387 10.88152285 ... 15.10651989  7.38278738
  0.49387028]","[24.40095555 12.26855593  8.81468283 ...  0.12956731 13.79650643
 35.68795329]","[42.98137864  0.34819382  5.39054314 ...  2.99240378  0.18934892
 12.579547  ]","[42.98137864  7.98270064  5.39054314 ...  3.01130473  0.18949412
 12.579547  ]"
5,[0.18675481 0.01264018 7.96388321 ... 1.61050368 3.06004205 0.07546243],"[1.12811988e-01 5.12378388e-01 1.21521319e+01 ... 1.43031503e+02
 1.27608941e+01 4.71940489e+01]","[10.85072479 10.97615184  0.26234468 ...  0.11687615  9.65218691
  0.15140599]",[9.56589894 1.33174633 0.26234468 ... 0.11687615 6.328007   0.15140599]
6,"[ 0.30262369  0.14119132  0.16878161 ... 27.89832025  0.24375474
  5.51038215]","[ 1.0762642  23.76207661 40.45045133 ... 19.02920966 62.69653382
  2.63627706]","[ 0.21634217  0.34385284  2.71110178 ...  2.55453823  0.44786386
 11.37503538]","[ 0.21634217  0.34385284  2.71110178 ...  2.45807503  0.44786386
 11.37503538]"
7,"[5.39892291e-01 1.17054866e-01 1.05255514e-02 ... 4.45058951e+00
 2.16174397e+00 2.96691507e+01]","[ 0.80992563  9.68546035  7.81832152 ... 14.88075213 70.98604702
 21.63820255]",[0.04896856 0.61602049 0.5098169  ... 1.48391733 3.55319845 1.27018545],[0.04896856 0.61602049 0.50946517 ... 1.48391733 3.55319845 1.27018545]
8,"[ 3.65096633  0.18188712  4.98027159 ...  0.9619605  10.18372487
  0.10948414]","[ 1.42156857 34.98803174 13.32937251 ... 26.11845083 12.5916747
 29.08509031]","[ 0.2297303   0.09185809  1.31899585 ... 32.47336869 13.01213525
  4.80095023]","[ 0.31495905  0.09185809  1.31995005 ... 30.73200132 11.04537492
  4.80095023]"
9,[4.81246378 0.1270881  0.64096065 ... 0.20460368 0.71812321 0.11848428],"[ 99.77308008  51.7885892  115.32861047 ...   0.81403594   3.29994388
  40.92025723]",[0.86166627 0.66090149 9.99846257 ... 0.0556118  0.39049874 0.98055637],[0.85014952 1.15260071 9.99846257 ... 0.05559799 0.38386926 0.97982314]
