,1,2,3,4,5,6,7,8,9,param
74,58784136,40371348,22498522,15692840,13246281,11667611,10368913,10596771,8669630,rsrp
75,59150161,31876817,20415376,16909725,13170147,12072435,11260802,10597213,9731709,rsrp
76,59516625,32098369,20500344,15482422,13240633,10882652,9665774,9128700,8658116,rsrp
77,59103912,31935582,20418036,15418619,13188758,11758740,11101534,10721367,10052462,rsrp
78,58957920,31845084,20370307,16853517,13183602,11974620,11267930,8986803,8411017,rsrp
79,58971232,31782416,20336906,15389011,13145287,12346780,11256704,9100900,8076519,rsrp
80,59017761,30078662,19829702,15532324,12973833,11951921,10414755,9815041,8608504,rssi
81,59196312,32458164,22828491,15216365,14166175,12003242,11355534,10690674,9302469,rssi
82,58656285,32203290,19730427,15404110,12881484,11878175,10413195,9542300,8448048,rssi
83,58439325,31905511,19635686,15382738,12826531,10791202,8886129,9599610,7714579,rssi
84,59366872,32352684,19912482,16657654,13019195,11985472,10482075,9731179,8736546,rssi
85,58398417,31902900,19609887,14997134,12377458,10757167,9525480,7723258,7613047,rssi
86,58810960,32193806,23375083,15468405,12935243,11599577,9647016,9233704,8217221,rssi
87,58486960,29780820,19655976,16515509,12869020,10812709,9568965,7908922,8530198,rssi
88,59684637,32753889,20080739,16868914,13038451,12135187,11098234,10541873,9922819,rssi
89,58877880,29861820,19822915,15541251,13020054,12029873,9900765,10045764,9262161,rssi
90,58439325,29765400,19622763,15400348,13622135,11567925,10153020,9106137,8084879,rssi
91,59229217,32350754,19915564,16693318,13003053,11971239,9913349,9589058,8526903,rssi
92,59057565,29977797,19872423,15192718,12905241,12266541,10788522,9142227,8522919,rssi
93,58784136,29988768,19749521,15493001,14074966,11923052,9848907,8966775,8766617,rssi
94,58784136,31946770,19716117,15496800,12953439,11598265,10914415,8971618,8587589,rssi
95,59150161,32436494,19906365,16666019,12978692,11643724,9680766,8995496,8630985,rssi
96,59516625,32638102,19998735,15275834,12610130,11515562,9792885,9346579,8874003,rssi
97,59103912,30089966,19883080,16684215,13026122,10953718,9933485,7812708,7158967,rssi
98,58957920,32271990,19817580,15516894,12988349,11975731,10500121,9239596,7319573,rssi
99,58971232,30017560,19815479,15159574,12961907,11635982,9654875,8853558,8444364,rssi
