,1,2,3,4,5,6,7,8,9,param
0,4.14206397842682,4.156023356222779,4.154160430806097,4.165053839242775,4.19470197780937,4.187672535677225,4.191479441334818,4.214393797992669,4.219626597506263,dummy
1,4.034737096352143,4.059463693931556,4.120130932083078,4.164687082096485,4.108767670649572,4.094585373962524,4.092029540135707,4.15732293384982,4.197061088093701,dummy
2,3.884933198799285,3.8974302625435104,3.9445625824301738,3.949292027090149,3.947814044911112,3.9602625406901906,3.994740382927964,4.015943278635665,4.049435303039946,dummy
3,3.969716340337499,3.998243296354318,4.033662152067354,3.978810122955664,4.046894630397052,4.009262820098357,4.00655237839015,4.025806385467331,4.071041771258699,dummy
4,4.166968988746533,4.220111054040897,4.211784311563105,4.228918180103354,4.257683393603651,4.3042980291175885,4.310032038822497,4.339528747727268,4.313604118030269,dummy
5,3.992465914619978,4.019197117316797,4.048934714299825,4.050361307114702,4.051393628125849,4.04334931609196,4.137181722929536,4.033040397991626,4.148993076254081,dummy
6,4.0978215062661905,4.116966309170891,4.153138791083386,4.18687665799243,4.117636321823199,4.15904421656239,4.19176736963121,4.190127150095654,4.227664029503312,dummy
7,4.026005648052784,4.0425709269944035,4.081124562655459,4.127137197035557,4.098274413818604,4.151547231378284,4.144676651252531,4.1145576379164135,4.1098808402338545,dummy
8,4.041479860510031,4.070744646308472,4.078327079149946,4.101723446898847,4.093539202625819,4.10047283612932,4.125823459573489,4.11939633335743,4.167967963632726,dummy
9,4.161859543311951,4.189727454516813,4.228001927961254,4.235931260048129,4.24790165830809,4.247217249892345,4.306667985772531,4.273724180057579,4.34519437842999,dummy
10,4.191617890260897,4.244047005037875,4.2824967784517405,4.2356521604934985,4.2959193962879985,4.298406166608496,4.304070999971313,4.331279556764651,4.3384653178511146,dummy
11,4.2181874389903316,4.259183819001232,4.284983931431504,4.240592710477752,4.341081618632999,4.389981439134764,4.3525714776224405,4.353172591608333,4.349117823712555,dummy
12,3.9408668874308628,3.9773514683295055,3.9750222258004375,4.001304903593916,4.05777950229642,4.061659948873577,3.9939371462109285,4.058608965794112,4.0321755160438215,dummy
13,4.014904148058366,4.053318780474284,4.032357744515558,4.056242904773136,4.068400288181094,4.1286318304647605,4.171048421710619,4.152182802580195,4.141960618401635,dummy
14,4.229965846327479,4.246673955058868,4.2851232832577395,4.242499035901264,4.334117099376142,4.308103169710396,4.3269015792380765,4.336257556181381,4.394087470446405,dummy
