,operator,frequency,error,complexity,runtime
0,1,3731,20.49239096675471,50064.68618219038,4.615722928756701
1,1,3731,20.24429847790873,61193.396780110044,4.985444838648412
2,1,3731,20.11702193803589,50377.8113753878,4.692735230779388
3,1,3731,20.431797819164206,55422.21559633027,4.793330565447592
4,1,3731,20.504679509285864,54944.56675419107,4.573993872602078
5,1,3731,20.53103139180877,61939.60266555602,4.850257566661847
6,1,3731,20.4874759531155,63061.700536968194,4.7549674107982804
7,1,3731,21.200102896847337,56014.379862700225,4.531241449931784
8,1,3731,20.230342173482594,49798.854676836614,4.380346584873703
9,1,3731,19.931808660594523,50182.27494365909,4.178095542072267
10,1,3731,20.010587797635388,50585.010837849106,4.3061684887730465
11,1,3731,20.182696672078755,61982.74553571428,4.229266680576748
12,1,3731,20.31592559193558,55210.925842696626,3.9454296701211975
13,1,3731,20.66230225119503,61691.36085879438,4.180667225043054
14,1,3731,20.724694796414315,62564.65512978986,3.96588358743754
15,1,3731,21.047468270160756,55366.280937818556,3.8424455174354115
16,1,3731,20.911523497067037,49802.86370967742,3.6995780384806434
17,1,3731,20.210698526209264,55045.93116089613,3.7780752967921694
18,1,3731,20.30737195732124,62917.62541118421,3.8432610265437304
19,1,3731,20.53232459829669,50107.29719779096,3.786288865392932
20,1,0,2.8398415694490087,1845147.0199959604,68.09814470451249
21,1,0,2.7774136677903187,1706750.5555332396,67.99112153339621
22,1,0,2.724411723962561,1807947.1212553496,68.48363470506673
23,1,0,2.727776959077656,1814370.47513358,68.35728565024642
24,1,0,2.9014279779122027,1604741.5866055412,65.56179512873922
25,1,0,2.8879384263278407,1723109.1559029205,67.47951272885415
26,1,0,2.910644605200836,1770087.5575437169,67.30644324396356
27,1,0,2.8086265973245332,1904124.8113207547,68.84620536259705
28,1,0,2.720272554448665,1807040.9317237285,65.98141888678502
29,1,0,2.80462270891368,1678436.688372093,66.36082285015088
30,1,0,2.7607628631149375,1822634.2623355263,68.03004540482729
31,1,0,2.793942743169968,1709562.9422614274,65.5993765408439
32,1,0,2.826318293533868,1849671.7620488002,68.73471430163093
