,0
0,23.159984827041626
1,24.629951238632202
2,26.197164058685303
3,26.65707778930664
4,24.93428111076355
5,27.680065155029297
6,24.535431623458862
7,23.91704559326172
8,32.975428104400635
9,29.52730703353882
10,25.437632083892822
11,32.013291120529175
12,26.546497344970703
13,28.140754222869873
14,30.715147256851196
15,24.52313756942749
16,33.467222690582275
17,29.32968783378601
18,31.576201915740967
19,27.382521390914917
20,27.17282795906067
21,27.72942328453064
22,28.284517765045166
23,27.96923851966858
24,34.761319637298584
25,27.472235202789307
26,27.05362343788147
27,28.467132329940796
28,27.484163522720337
29,29.876282215118408
30,23.867119550704956
31,24.754070520401
32,27.85587501525879
33,23.95240616798401
34,29.543137311935425
35,27.093472242355347
36,28.557977199554443
37,29.647599935531616
38,27.22347354888916
39,27.137656688690186
40,26.53335165977478
41,25.836323738098145
42,27.03783369064331
43,25.31163477897644
44,25.965412855148315
45,25.7646267414093
46,26.504667043685913
47,24.98794960975647
48,24.64854145050049
49,22.95273780822754
