,errors,complexity,runtime
0,5.71332470030024,7761594,53.87650156021118
1,6.478979713929547,7751545,52.97529315948486
2,6.269540209631031,7741831,53.88304042816162
3,6.141673405230315,7658752,53.10650682449341
4,6.000830372113985,7778187,53.29704976081848
5,6.281401351144155,7740042,53.77883768081665
6,6.24751341640652,7692766,54.03536939620972
7,6.126663518758372,7678184,54.585188150405884
8,6.265327870908229,7828331,53.672038316726685
9,5.781160114243426,7705139,53.262330770492554
10,6.129579089533611,7663315,53.17689299583435
11,6.0850070932118205,7779678,53.42901921272278
12,5.989973310216713,7726433,54.338050365448
13,6.029210772234885,7732069,53.19589591026306
14,5.877501192941757,7690225,53.1063768863678
15,6.20028495917935,7739949,53.18049097061157
16,5.799284566183205,7785995,54.369433879852295
17,5.988787142222608,7761078,53.408395528793335
18,5.9448108464308875,7773070,53.24972653388977
19,5.808165266882517,7808257,53.86047124862671
