,0
0,11.85486192633453
1,11.668000819372379
2,11.948519000339367
3,11.972668956474584
4,11.844744818458597
5,10.966038064649743
6,11.408531977556548
7,11.893303491243977
8,12.380466718981959
9,11.92840990126393
10,12.103417954916871
11,11.602432973176462
12,12.097978772453834
13,11.97529410478069
14,12.332111288093015
15,11.719854190829475
16,12.151214014271893
17,11.935763275082524
18,11.532006101233007
19,11.59107602384982
20,11.594669374460759
21,11.724936783507875
22,11.922619422512732
23,11.97136508702022
24,12.106326616568035
25,11.586941825623143
26,11.717912787354864
27,12.187736230298087
28,11.629527640613592
29,11.714436589183405
30,11.62225307154251
31,12.124377783658922
32,11.477748601481494
33,11.712820152321425
34,11.970342371441928
35,11.478545822994686
36,11.740299697411087
37,11.635327488573473
38,12.668918882589608
39,11.707217202543418
40,11.74053269549131
41,11.675546875940709
42,11.452169854386897
43,11.97265785355705
44,11.658883010618636
45,11.48736067572245
46,11.635476970319731
47,11.806882865432181
48,11.527374372145076
49,12.09586196893087
