,errors,complexity,runtime
0,4.0528287213464695,7761594,44.62916016578674
1,4.2938930285014,7751545,44.38168501853943
2,4.371677973771483,7741831,44.77356433868408
3,4.188157141149892,7658752,43.98035430908203
4,4.214686876173689,7778187,45.276087045669556
5,4.446859447750751,7740042,44.600159883499146
6,4.378697624700788,7692766,44.21593141555786
7,4.248602134105399,7678184,44.800137996673584
8,4.302316418116001,7828331,45.15130543708801
9,4.241734433115749,7705139,44.41444540023804
10,4.467199795150122,7663315,44.68072509765625
11,4.2136630776047115,7779678,45.61432385444641
12,4.302088356468702,7726433,44.772608518600464
13,4.264364875456348,7732069,44.315834283828735
14,4.013035767228586,7690225,44.47355842590332
15,4.275942866981951,7739949,44.639365911483765
16,3.9555706779651105,7785995,44.39048886299133
17,4.381435860843303,7761078,44.56749415397644
18,4.271607448983471,7773070,44.80957221984863
19,4.012570432140595,7808257,45.21931719779968
