,0
0,84.09920954704285
1,91.49064302444458
2,91.69949865341187
3,86.25529980659485
4,90.50697946548462
5,73.94627571105957
6,92.4355366230011
7,87.64272332191467
8,98.33023262023926
9,92.52081394195557
10,94.36506676673889
11,86.76307392120361
12,90.17154002189636
13,102.76583504676819
14,99.26522040367126
15,96.46481966972351
16,96.17503452301025
17,79.40249276161194
18,95.12829327583313
19,96.51003170013428
20,77.34949851036072
21,101.03724694252014
22,95.76096391677856
23,78.79889273643494
24,91.01070189476013
25,72.82581043243408
26,85.67223858833313
27,82.25954508781433
28,96.53165221214294
29,77.96501517295837
30,94.31064295768738
31,75.09525537490845
32,94.93912291526794
33,85.66246581077576
34,92.9974992275238
35,93.05547308921814
36,89.27256274223328
37,84.27524971961975
38,79.97573471069336
39,77.40273523330688
40,78.20307517051697
41,90.85829043388367
42,90.53674674034119
43,89.65308237075806
44,92.63890552520752
45,87.31381011009216
46,84.92555594444275
47,88.36749768257141
48,92.52672076225281
49,89.85512518882751
