,0
0,4.155931053149299
1,3.9374054388153374
2,4.073653151096776
3,4.223606196809121
4,4.319531534130545
5,4.228957028443453
6,4.175872708840786
7,4.088604330876819
8,4.342454059649288
9,3.8741060142075674
10,4.327603263689029
11,4.427724105956431
12,4.093461524458799
13,3.834386430647647
14,4.013427812973381
15,4.156880532092038
16,4.174554388040248
17,4.217976153179855
18,4.106600400091518
19,4.335957453803511
20,4.1497143358003505
21,4.246557873904654
22,4.056764799430657
23,4.155113926509451
24,4.310101592537265
25,4.080093360638971
26,4.0925972064495575
27,4.2921945695964006
28,4.175485006549446
29,3.981256327132451
30,4.109610395219046
31,4.322136911075798
32,4.1119691411174495
33,4.069023664419048
34,4.0614071141681976
35,4.331626601679831
36,4.0999488166703815
37,3.969728481291793
38,4.296829966526072
39,4.169127377378255
40,4.052756783287554
41,4.067565756639681
42,4.105546913504983
43,4.2340475736257535
44,4.075293070463501
45,4.334701078067063
46,4.2007852803869135
47,4.091212285606558
48,3.959813683811305
49,4.2367880338066914
