,0
0,89.32098579406738
1,74.62596440315247
2,93.2822790145874
3,86.85508918762207
4,96.11913204193115
5,92.29809784889221
6,86.38340973854065
7,89.247718334198
8,92.1348226070404
9,104.64080739021301
10,89.88270115852356
11,106.41175699234009
12,89.59422564506531
13,74.12301921844482
14,97.34920835494995
15,98.47372913360596
16,98.13905954360962
17,98.97351598739624
18,91.52405643463135
19,89.80063009262085
20,84.78666496276855
21,95.66477155685425
22,97.33220744132996
23,87.73732829093933
24,91.14380121231079
25,75.59648942947388
26,88.22598361968994
27,78.4319236278534
28,71.62037873268127
29,74.83334374427795
30,81.86296105384827
31,81.16894721984863
32,85.81344246864319
33,93.18594026565552
34,89.23951268196106
35,81.85602927207947
36,87.64092803001404
37,82.92692542076111
38,90.22796106338501
39,82.87699270248413
40,91.09168553352356
41,83.94982767105103
42,88.1113588809967
43,84.9773302078247
44,82.11283087730408
45,84.00365781784058
46,90.44657802581787
47,89.51332139968872
48,74.82756066322327
49,87.76914930343628
