,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,param
0,4.095083612549442,4.118677474974554,4.125115387392542,4.180548867344889,4.1331644997524055,4.170488428593213,4.167391085977486,4.199263628219939,4.240504874596158,4.235493763663279,4.260278033482044,4.298213100730924,4.313352788710103,4.311148270390912,4.320757754629764,4.339356170674389,4.3112394015388205,4.289851488895987,4.376375929392452,rsrq
1,3.904343303192323,3.926184639807924,3.996138030069298,3.9968195334730985,3.969929715041618,4.001399410499757,3.9985725593265795,3.9948145153247823,4.046589105643775,4.021166859854516,4.06570215475218,4.079054985615092,4.069590227743837,4.047951153145575,4.102803835652532,4.100688299334648,4.1106545658133395,4.151543495020832,4.181341839297299,rsrq
2,3.7667779184888506,3.7818371047956956,3.7963619642900635,3.818011177720049,3.8995929182005376,3.943973858091745,3.9059708917116,3.959444425899839,3.9900909512117217,4.009155186778204,4.089036976599927,4.085208748734817,4.075502176941873,4.053601789795524,4.041756269709015,4.098179189025651,4.083495892008751,4.109504086453201,4.116234168958672,rsrq
3,3.863566913477712,3.9076024493277632,3.8951718892821083,3.9457882245906757,3.9166981881230334,3.939561731329951,3.9129533478457907,3.9022026463177104,3.932778519671596,3.9967249083068603,4.003703308527317,4.021553389337335,4.037978799085264,4.083482881140735,4.081778932095914,4.160685380131488,4.218601822228086,4.194852534533928,4.1911278392510685,rsrq
4,3.9876364669275297,4.057155646123152,4.025956558650301,4.040018228317262,4.088792946633922,4.099026826648626,4.102141392727644,4.145020271852712,4.170449523178078,4.187125058006439,4.21108720703426,4.182190872128122,4.247777739827418,4.2607868378385545,4.262487910014912,4.263446522383626,4.272959369702948,4.285085528135402,4.328615052801547,rsrq
5,3.8712117328620455,3.891483913086761,3.918856964666894,3.9254671905157466,3.961896205833077,3.9852423706457683,3.98067655240527,3.97549812826277,3.9908924458797825,4.026158920356735,4.07439083520255,4.102828346724844,4.160224900104116,4.150519430821462,4.1802347730148,4.216057292658851,4.2106213107423,4.275209270090438,4.302275548443022,rsrq
6,4.028981750774708,4.045416705286349,4.075129071502073,4.02871630267362,4.08957413711304,4.081189283838383,4.115290901872619,4.1208884160993495,4.16704332642173,4.204815012602518,4.201334968152198,4.2084531493153206,4.210739478110971,4.244094333543248,4.217930293098777,4.211927455428017,4.2191550220251735,4.206634643176397,4.203421540057726,rsrq
7,3.932977575261638,3.953805324175015,3.9880624694213305,4.000115165617681,4.0061019790132555,4.087028747656393,4.049351093471937,4.047070100592393,4.063808130747016,4.093269491132748,4.041459748078228,4.067597937593608,4.061958533579376,4.0752774391735604,4.160064636321232,4.137601298588487,4.115213492726963,4.1447233354010695,4.226710580422565,rsrq
8,3.9421358057683507,3.9604517143650932,4.004107708338439,3.987802671292904,4.025795250272277,4.005414854055927,4.1396983158891745,4.069151572938513,4.057174890940704,4.049435959459037,4.127223326485829,4.152994062403537,4.149206204100122,4.188436550341631,4.1979345459302415,4.180622857819618,4.229601810213169,4.283179201814858,4.333138095056339,rsrq
9,4.009172939820034,4.04505209835474,4.055557707734935,4.0409539745838225,4.111277704828904,4.107721655886669,4.110587704290884,4.144119204620289,4.128989172442704,4.165708431845775,4.210202551427027,4.206237599046938,4.207182914099379,4.262610043346044,4.215870587453381,4.25702734896466,4.265321848102183,4.3014278826311525,4.302645274210469,rsrq
10,4.019919150697737,4.048359382642648,4.087018632588704,4.06169146303179,4.102877658029901,4.088969208071164,4.100597347523295,4.150086029293178,4.1338646522989135,4.1613575932813,4.18750097020315,4.201428071900431,4.219544619739173,4.184684284104547,4.229203369890283,4.27274473554839,4.292180983496372,4.268117809961292,4.30485882956431,rsrq
11,4.04672535652812,4.092138150012205,4.085044956699474,4.095314634394384,4.163291757742517,4.204938286401606,4.2159313634328655,4.149895194737692,4.21258227025985,4.208986832499172,4.280100142063971,4.313422639522161,4.358393182331247,4.368913339359715,4.3741724022192985,4.39257213479868,4.422999515994462,4.374737817447002,4.354749026331375,rsrq
12,3.8725596947769043,3.898739057551637,3.896242723353211,3.9074206284348207,3.926321262760891,3.9777068482372893,4.02973125562381,3.9966867378867095,4.045774425765013,4.066596648678727,4.072594977030207,4.057208513722303,4.078295832414194,4.125329462394033,4.120478450511,4.127783931147437,4.1551372310894505,4.144100805386104,4.140459285980508,rsrq
13,3.8672268823248914,3.875505237966476,4.007075940862948,3.997442781195001,3.988181080528505,3.969387871134663,4.000870557878261,3.9949236020300924,4.005982857223179,4.024327563851074,3.995385272620074,4.06512284156001,4.072683633037359,4.068190894744256,4.133551014812253,4.161814409464943,4.174383275295284,4.172168496148641,4.162596565504605,rsrq
