,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
37,14808118,14808118,8094091,4955844,4092254,3355417,2986726,2182302,1956803,1786652,1707681,1568147,1470673,1418411,1372722,1342707,1318148,1245149,1225866,1206249,1188708
38,15082848,15082848,8291939,5050645,4188666,3435722,2975802,2614902,2028792,1862539,1726359,1626343,1548022,1472536,1373785,1346672,1330367,1283833,1073730,1040801,1023190
39,14729550,14729550,8096817,6646445,4041763,3337859,2888700,2548606,2384210,2245357,1663570,1532344,1465568,1439283,1374216,1285496,1252332,1221532,1204363,1188342,1158561
40,14981850,14981850,8223729,5019137,4105734,3416725,2970941,2625559,2478816,2423712,2255463,2121106,1524731,1426724,1364904,1137995,1113490,1092782,1049853,1026422,990078
41,14855424,14855424,8184872,4969981,4001488,3376679,2998933,2588763,1986659,1821388,1684111,1597353,1519265,1475601,1452481,1369176,1289777,1069141,1023002,992172,967624
42,14945550,14945550,8224926,5001616,4134243,3408707,3021878,2614787,2459009,1838961,1669393,1609327,1537016,1457810,1411245,1330960,1291093,1067379,1037652,1019544,1010349
43,15063450,15063450,8257812,5042085,4060078,3588052,3036589,2624454,1999898,1828427,1752440,1663118,1553068,1460563,1409417,1382431,1317607,1286115,1250831,1225324,1212358
44,14691600,14691600,8095600,4915596,3972028,3345167,2899429,2546757,2399471,1813052,1638911,1561516,1496992,1418478,1345905,1316673,1280230,1055476,1018733,986303,966455
45,15011370,15011370,8255590,5024936,4051750,3412540,3031694,2791836,2019823,1847536,1769396,1639572,1537269,1464871,1420476,1379996,1365950,1334997,1313706,1096715,1022867
46,14660370,14660370,8082945,4904265,3966410,3341000,2901349,2169887,2414814,2254798,1634421,1583117,1486765,1425478,1375965,1151463,1077604,1055337,1034832,1006796,989581
47,14736424,14736424,8123669,4935182,3996638,3371682,3115935,2762088,1977007,1843368,1689235,1617347,1480236,1431535,1384724,1362892,1332493,1306624,1075199,992921,927118
48,14831820,14831820,8151999,4967022,4113885,3379238,2996048,2586246,2419270,2271152,2197810,1571321,1488897,1425814,1390422,1362201,1324738,1303176,1280263,1240951,1226445
49,14852058,14852058,8151039,4971806,4116468,3371928,2999512,2190592,1997805,1862229,1688800,1611340,1557615,1482095,1390861,1324605,1100871,1055925,1023430,998869,985041
