,0
0,6.775925479503196
1,6.171742971452877
2,6.380677461188502
3,6.074705779531711
4,6.337912964819234
5,6.2118510098942155
6,6.440738509932924
7,6.399786406653154
8,6.7066138249998115
9,6.140742264290915
10,6.624285243991771
11,6.11434758921816
12,6.3295663154107995
13,6.509486720510755
14,6.312861052251624
15,6.212764942194806
16,6.552812102332731
17,6.5882135676507305
18,6.257091979749724
19,6.305031664087138
20,6.252593371955682
21,6.425204313094039
22,6.238738379636129
23,6.527259991585036
24,6.871109989613853
25,6.190635542578168
26,6.167111317481207
27,6.288385425752067
28,6.34027648387089
29,6.414541798969603
30,6.129940866219182
31,6.71302604355202
32,5.826924981685804
33,6.303109316470453
34,6.410819472091647
35,6.409927709024006
36,6.433307486427726
37,6.187973620771492
38,6.7846395187834565
39,6.175703970922259
40,5.8239217837087605
41,5.892988672361387
42,6.050050834353182
43,6.047321169120161
44,6.345558252481147
45,6.574018536544217
46,6.438467586220167
47,6.271123418807503
48,5.888743633217506
49,6.6095414074070655
