,config,use_best_beam,use_sidelobes,n_best_pcis,errors,complexity
10,best_beam_multi_10,True,False,10,"[9.8464355144718, 10.077215910037404, 9.85163065303136, 9.750283601312939, 10.118065200018293, 9.650824716615677, 10.258895257225499, 10.041765434779718, 9.824910942302541, 9.851417354757055, 9.665762843100197, 9.899008402477959, 9.750559845378364, 9.905949710593934, 10.059018208711947, 9.754889058854376, 10.325572335674252, 9.982391748669706, 10.142065356299913, 10.268281376468096]","[73112.70680420552, 72599.63756405203, 72740.57303145662, 73598.86711030449, 72319.90370660914, 73685.34705407587, 71963.56957735248, 72472.40921900161, 71431.15093240094, 72782.19733174035, 74145.34079903147, 71844.9513683796, 72576.4853523357, 72617.64644852355, 72270.84570858284, 72482.55186721991, 72120.59793009178, 72237.58374530353, 72198.01628923322, 72715.58646019457]"
11,best_beam_multi_11,True,False,11,"[9.605872104313686, 9.984131454217597, 9.750493849422211, 9.718185623881526, 9.952384533987159, 9.755965409816941, 10.035646255838614, 10.00649386738895, 9.64632845900851, 9.79053121498252, 9.445400408812054, 9.704545286662707, 9.686841142747276, 9.752681641914098, 9.961498419953477, 9.737569864738985, 10.051376389005378, 9.59482537243216, 9.654100468162024, 10.016225937044023]","[77277.22098789923, 76195.61076074104, 76956.20356641956, 77944.87053841501, 76289.86448323201, 77337.12832929782, 76208.7629585327, 76963.90579710146, 75879.34401709402, 76871.14217443249, 77596.02340597256, 75769.64205552274, 76889.7329770388, 76892.61811652035, 76832.15828343313, 76334.60995850622, 75978.38703378246, 76761.13466482105, 76766.11442193088, 77126.05062537224]"
12,best_beam_multi_12,True,False,12,"[9.616269421811264, 9.82683519639231, 9.729480482874271, 9.93804250611152, 9.768228344420399, 9.757622881266514, 10.172399475683706, 9.823136893371728, 9.708192663817348, 9.6222635500987, 9.412714929179534, 9.650093295846947, 9.597604301915855, 9.82664778514158, 9.841736447240184, 9.49868225712116, 9.989920857650239, 9.7172097278084, 9.734700374693741, 10.165092520712856]","[80105.77127554057, 80715.87485218763, 80508.89481065919, 81416.3379713652, 79823.69523435968, 80844.99475383374, 79606.43341307815, 80625.34822866344, 79551.30283605284, 80765.10653126244, 81481.04338175949, 79226.21480606419, 80799.96516231196, 80702.49860335195, 80638.71197604791, 81053.18435091879, 78919.85139621167, 80026.27229582757, 81008.85717123559, 80680.04169148303]"
13,best_beam_multi_13,True,False,13,"[9.624099602522058, 9.826556136579649, 9.824123543236077, 9.833875791407056, 9.781093028447678, 9.673642113683776, 10.102435108625698, 9.646774911278902, 9.607792450737339, 9.620808840421093, 9.555207896236288, 9.566880606426407, 9.801458537184029, 9.720656218086663, 9.887152059077824, 9.665688226775199, 9.770394169487735, 9.71925383869894, 9.767557861958062, 10.03932369366095]","[83239.84824439595, 83620.54197871502, 83545.55319575235, 84637.04174228675, 83798.6866052167, 84451.80730427764, 82920.75259170654, 83580.21658615136, 82865.05108780108, 83970.14416567105, 84612.94007263922, 83016.15888954519, 85003.8960807601, 84489.69333599361, 83977.05548902195, 83484.0152143845, 81686.79652411638, 83390.98259837848, 84370.99443782281, 84079.6343061346]"
14,best_beam_multi_14,True,False,14,"[9.736725454633882, 9.828606394945918, 9.628718479125238, 10.057200029320693, 9.791209277678117, 9.703742425924373, 10.188631934622936, 9.79666380159307, 9.526352329185087, 9.698226455007255, 9.698387312910448, 9.646043554750722, 9.71901636583513, 9.86270118566439, 9.895091649610809, 9.764880425153915, 9.833771564412631, 9.689939874904741, 9.761813801708998, 10.047156393062425]","[85833.274747074, 84973.14268821443, 86048.26788218794, 86647.41459971768, 85361.94018434988, 86433.47255851493, 84843.7581738437, 85820.6574074074, 85288.14452214452, 86057.7250099562, 86257.03268765133, 85036.18645402638, 86784.09936658748, 86705.78012769354, 86414.83393213573, 85525.08456826714, 83962.6151142355, 85120.4101245798, 86234.92630115217, 85724.67440937065]"
15,best_beam_multi_1_sidelobes,True,True,1,"[32.08807123085615, 31.91596479554151, 32.648707843516235, 32.59755740093237, 32.08015908258733, 32.42029853918718, 32.68699521613772, 31.561082775419916, 31.9827211323322, 34.21831690821393, 32.34312631097603, 32.62546714591224, 31.576913971010917, 32.55872001111005, 32.51558342717755, 33.02409685472769, 32.353220831736145, 33.27394704685675, 32.90223933230125, 31.960436465342983]","[2523.6552271374726, 2514.7964130863224, 2525.502905229413, 2531.921960072595, 2499.5112767209257, 2539.108353510896, 2521.834928229665, 2538.435990338164, 2491.9125874125875, 2525.1726403823177, 2539.4509685230023, 2517.2953337271115, 2518.751781472684, 2517.011372705507, 2515.879041916168, 2520.2181387077653, 2492.272407732865, 2515.7850504251533, 2528.579856972586, 2522.0935080405]"
16,best_beam_multi_2_sidelobes,True,True,2,"[22.46553387933845, 23.34826341912029, 23.57351371924765, 23.818722857167423, 23.131749364489266, 23.090552259895478, 23.175061494180156, 22.882919968114614, 23.09390750657808, 23.20336591939627, 22.7911939564651, 23.680677939440134, 22.988498551746275, 23.592244195254565, 23.55502409449221, 23.4029730143787, 23.294503013348404, 23.41035514866761, 23.614241167605698, 23.931885379034618]","[25741.68339615156, 26250.776901852583, 26062.48427168904, 25436.874773139745, 26122.830947244558, 25862.522195318805, 24468.839912280702, 25889.60346215781, 25674.577894327893, 24518.247710075666, 25888.35815173527, 25330.0555227407, 26022.56631037213, 25632.47106943336, 26222.975648702595, 25922.101165777516, 25693.829720757665, 25538.833695867113, 25689.44477552642, 25275.18939845146]"
17,best_beam_multi_3_sidelobes,True,True,3,"[22.835011957459226, 23.715034915036295, 23.43002091349944, 22.46031669778134, 23.2984190871795, 23.343741298898372, 22.86628425744535, 23.52335304328884, 22.62741706442598, 23.742056148223373, 22.22363346286732, 22.471538188517773, 22.892118204443165, 22.715797094441307, 22.488457851058826, 22.520366514349, 22.876138075310486, 23.288993981643646, 22.17053414084216, 22.64896544302783]","[36418.57210870859, 36828.332085139926, 37446.09457022641, 37660.83706392418, 36951.63012355364, 36280.022598870055, 36781.399122807015, 37012.95269726248, 37689.11052836053, 37441.76642771804, 37341.43220338983, 37068.643630635954, 36717.80760095012, 36525.333000798084, 36642.41696606787, 37235.62122110255, 36101.49541105253, 37259.09649990113, 36964.170242352004, 36501.69267421084]"
18,best_beam_multi_4_sidelobes,True,True,4,"[23.740010971723503, 23.905742068885996, 23.897372956210205, 24.45897052500658, 24.368313715967044, 23.873375680341294, 25.2277907527182, 24.90524287222065, 24.714772787812933, 24.696708336072767, 23.8909582183502, 23.932542594282836, 23.663982457281257, 23.967334046206346, 23.82931637566196, 24.907258281520043, 24.506245729590876, 23.78904480911539, 23.94132253046778, 24.966617905364046]","[49384.46657409244, 49577.81080015767, 49959.87196954518, 49714.99153055051, 49718.204549911745, 49789.30790960452, 49009.67822966507, 48979.16082930757, 47423.82206682207, 50612.82377538829, 50165.446529459245, 49262.76963969285, 49400.02434679335, 49441.09297685554, 48898.23912175649, 50274.14147401699, 48743.44815465729, 48411.262606288314, 49876.56356773937, 48320.289855072464]"
19,best_beam_multi_5_sidelobes,True,True,5,"[24.906645007459232, 24.18486369277652, 23.967691783461945, 23.964961979608766, 23.23074634538969, 24.140496460755607, 23.71913604001047, 23.909583156315154, 24.2373852128595, 24.69065517511795, 23.6558836586438, 22.51041769164926, 24.2226711221243, 24.34926088776024, 23.15921313615655, 25.028435511333914, 24.924385812971877, 23.998573760405378, 24.56404561543737, 25.003786560938682]","[60749.24221384646, 60690.937524635396, 61149.29392907233, 61074.20629159105, 59696.50323592861, 61346.16202582728, 59779.84948165869, 61084.74899355877, 59494.63539238539, 60647.3618080446, 61374.55629539952, 59462.015751132116, 60307.2203087886, 60170.203511572225, 60577.54510978044, 61095.2124086149, 59848.72192931068, 60220.12675499308, 61740.41458085022, 59502.46952551122]"
20,best_beam_multi_6_sidelobes,True,True,6,"[19.263364224535295, 20.027115906737844, 19.50279919057336, 19.284519011785214, 19.653514905147713, 19.954216131254604, 20.383559076383914, 19.67438225725009, 19.300427243198413, 20.134731648061155, 19.148106320625544, 19.526695795331282, 20.01804687328605, 19.953851318315014, 19.63788275807424, 20.364266805829246, 20.788886610716325, 19.265704394121986, 19.520895626754925, 20.30491484383691]","[69536.6661376711, 69454.44343713047, 70502.70386696052, 70262.00302480339, 69423.38870366738, 70743.65254237287, 69304.04166666667, 69422.99214975846, 68647.31060606061, 70086.52070888093, 70561.55387409202, 68789.11104548139, 70676.9299287411, 69674.57462090981, 69475.12075848304, 70809.8818415333, 68939.83928920132, 69793.10243227209, 70551.46344854987, 69530.25511216994]"
21,best_beam_multi_7_sidelobes,True,True,7,"[19.678511933106925, 19.616387249572263, 19.95556688047173, 19.06665729840704, 19.65097571494624, 18.789957389583456, 19.966415241042206, 19.74136708824302, 18.715723240971286, 19.1676882941099, 19.15524489052588, 19.68668897499918, 18.76403981336498, 19.423882981059574, 19.247907176651477, 19.646689759037336, 20.27547989486097, 19.322334329342308, 19.253189467604837, 19.31935080361765]","[77113.08748264234, 76976.45309420576, 76813.90863554398, 78401.76890502118, 77218.50676603256, 78406.24152542373, 77107.68141945773, 77890.25322061192, 76408.36674436675, 77485.26344086022, 78451.700968523, 76530.25615278598, 77565.09006334125, 77449.38926576218, 77387.93433133732, 77552.73503260226, 77406.35793790275, 77487.45066244809, 77877.55999205403, 77275.22017073655]"
22,best_beam_multi_8_sidelobes,True,True,8,"[18.46547178555622, 18.810464582154847, 18.63535875362532, 18.854954512152787, 18.96537518337682, 18.722926172441777, 19.448071095871978, 19.651681542983823, 18.339878875873808, 18.68400334083558, 19.521733554156913, 18.236116447814112, 18.136617394407722, 18.680182897713014, 18.705650033839863, 19.10810155523171, 19.178651640163093, 18.589549457635098, 18.296129013407086, 18.97357471309017]","[82984.79904780797, 83695.8628301143, 83637.4820677219, 83743.97116354103, 83492.63130025496, 84938.32405165456, 83148.94318181818, 83517.29790660225, 82413.1991064491, 83962.83950617284, 84771.96610169491, 82190.08466233511, 83997.3855898654, 83149.9485235435, 83664.92335329342, 84434.35091879075, 83607.12966217536, 83577.15483488234, 84402.84704012713, 83127.20806035338]"
23,best_beam_multi_9_sidelobes,True,True,9,"[16.176428864318524, 16.65736649930065, 16.502425545482534, 16.207313362289366, 16.65573900973456, 16.039385170105845, 16.690351066598023, 16.716571823442585, 16.074056625512856, 16.06573240783342, 16.564143238032493, 16.50872538804779, 16.010432487419845, 15.606175903312442, 16.308747297403706, 16.296979769598444, 16.204550664332718, 15.840518987306325, 16.078257052920737, 16.298343443193]","[87753.99047807975, 87633.20693732756, 87518.48747745942, 88713.7485380117, 87525.4022357325, 88994.24011299435, 87058.02890749602, 88467.53200483092, 86079.8477078477, 87923.91557148546, 88639.12489911218, 86529.60937192361, 88525.59382422802, 87379.92877094971, 87624.66766467066, 88270.48844101957, 87420.44346807264, 87874.44670753411, 88599.81108462455, 86998.58983521938]"
24,best_beam_multi_10_sidelobes,True,True,10,"[13.937223247092337, 14.351986877365123, 14.193919129254363, 14.184237172569386, 14.226834813119803, 13.66796526117013, 14.362343618388243, 14.041976139110071, 13.870255426216294, 14.034305856648976, 13.930843886695758, 13.672365652380796, 13.393132022857046, 13.636413374506276, 14.294189710552596, 13.88842966109722, 14.062708718554218, 13.783530258957011, 14.0355837315707, 14.11990235415159]","[92618.76314223369, 92125.23452897122, 92757.68102584653, 93358.60496067756, 91908.094332222, 93916.96105730427, 92602.13437001595, 93067.24698067633, 90804.67132867133, 93171.46614894464, 94524.19975786925, 91203.68222090963, 92368.34461599367, 92275.68754988028, 92379.64690618763, 93363.01422643746, 92497.90451083773, 93308.82558829346, 92107.81883194279, 92788.25451657733]"
25,best_beam_multi_11_sidelobes,True,True,11,"[12.560466076874933, 12.640967020132745, 12.598204100524867, 12.44109803789596, 12.551347512326252, 12.257951685578247, 12.872129358305928, 12.452558862735184, 12.557371535027725, 12.477849823522645, 12.21282633799397, 12.138695565709412, 12.31951237117574, 12.322680992920478, 12.65354917938456, 12.27097195212182, 12.772826647123887, 12.51612212465796, 12.402274369503159, 12.887890597925004]","[96723.27653243404, 95375.22152148206, 96687.5664195552, 97647.42528735632, 95671.28809570504, 97135.63539144471, 96426.53409090909, 97018.71578099839, 94476.83022533022, 96973.29828753485, 97675.06678773204, 94955.1045481394, 96216.79948535234, 96182.37749401436, 96089.92714570859, 96727.68069551472, 95759.80140597539, 97235.02234526399, 96350.50377433453, 96995.01052213619]"
26,best_beam_multi_12_sidelobes,True,True,12,"[11.698336911338192, 11.785451778958986, 11.77126585946228, 11.670865616984566, 11.839723679924555, 11.14337028829162, 11.837688876890862, 11.695999141097252, 11.66915060514505, 11.632315446984943, 11.419840297545154, 11.525926916264591, 11.559496660443891, 11.602654967261978, 11.821637653630518, 11.372978458598107, 11.832465030164128, 11.646701527109903, 11.60308717262458, 11.675738413052258]","[99100.02935925411, 99980.93476547103, 100271.60288519335, 101083.86932849365, 99027.67523043734, 100690.601291364, 99827.87759170654, 100550.95893719807, 98120.39355089355, 100581.40163281561, 101324.37389023406, 98261.80173262453, 100043.88875692795, 99913.76596169194, 99383.35768463074, 101422.72120134361, 98512.99804725639, 100448.35198734427, 100599.91497814859, 100192.51578320429]"
27,best_beam_multi_13_sidelobes,True,True,13,"[10.816868204337515, 11.089678760644043, 11.111721147475084, 10.87045342948837, 10.951242154377274, 10.449619204252398, 11.09131416795662, 10.911897847735814, 10.969735444849903, 11.01703931272742, 10.712895841292225, 10.671857101610117, 11.108431977111007, 10.930820457195267, 11.040925249805394, 10.839352283722523, 11.24297619739218, 11.054035346923216, 10.978205767644484, 11.126861318665096]","[101809.69886927198, 102126.63125739062, 103050.72570627129, 103632.09215567655, 101937.60717787802, 103506.56719128329, 102357.74501594897, 102931.8421900161, 100624.80458430458, 103051.8126244524, 103598.84422921711, 101358.56920653672, 103013.5508709422, 102541.28332003193, 102321.27065868264, 103494.84884410196, 100926.84631907831, 102933.44492782281, 103535.88498212157, 102665.4556283502]"
28,best_beam_multi_14_sidelobes,True,True,14,"[10.594750282217104, 10.792116248682541, 10.678185403467987, 10.545819031295181, 10.460627047539953, 10.247130961151663, 10.846270367732561, 10.656585155738043, 10.59139015549585, 10.641601883827196, 10.379428996154376, 10.207781545066815, 10.767843227681539, 10.53293464453259, 10.852675569922436, 10.54154336593816, 10.990516844193102, 10.605028622498683, 10.686719176355668, 10.7765787872916]","[104375.05455266812, 103723.60149783209, 105479.91124023242, 105621.88888888889, 103434.03765444204, 105285.15415657789, 104084.03448963318, 104928.75623993558, 103052.19813519814, 105098.15989645559, 105023.65476190476, 103221.88226028746, 104871.95051464766, 104704.94154030328, 104854.03353293413, 105503.86366330765, 103097.14938488576, 104653.11864741943, 105324.79996027016, 104289.65693865396]"
